City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Khatanga,RU,2021-10-26 00:52:55,71.9667,102.5,4.32,96,100,5.93
67,Constitucion,CL,2021-10-26 00:52:28,-35.3333,-72.4167,58.24,76,84,14.5
68,Bosaso,SO,2021-10-26 00:52:56,11.2842,49.1816,78.24,67,11,4.68
69,Sept-Iles,CA,2021-10-26 00:50:53,50.2001,-66.3821,40.05,91,1,1.99
70,Saskylakh,RU,2021-10-26 00:49:38,71.9167,114.0833,-1.52,98,100,2.39
71,Ancud,CL,2021-10-26 00:51:36,-41.8697,-73.8203,51.42,96,100,14.72
72,Bagotville,AU,2021-10-26 00:52:57,-28.9833,153.4167,73.42,76,72,9.95
73,Sterling,US,2021-10-26 00:51:03,39.0062,-77.4286,65.08,97,90,3.0
74,Opuwo,NA,2021-10-26 00:50:51,-18.0607,13.84,65.59,28,7,6.93
75,Miles City,US,2021-10-26 00:52:57,46.4083,-105.8406,58.17,58,1,8.05
76,Ust-Tsilma,RU,2021-10-26 00:52:57,65.441,52.1498,17.22,97,75,3.87
77,Kaitangata,NZ,2021-10-26 00:49:37,-46.2817,169.8464,56.12,78,100,7.54
78,Guerrero Negro,MX,2021-10-26 00:52:58,27.9769,-114.0611,66.99,75,0,17.34
79,Yulara,AU,2021-10-26 00:51:46,-25.2406,130.9889,85.84,32,0,9.22
80,Morondava,MG,2021-10-26 00:52:59,-20.2833,44.2833,77.54,70,82,2.06
81,Jalu,LY,2021-10-26 00:52:59,29.0331,21.5482,72.73,37,11,13.31
82,Ensley,US,2021-10-26 00:53:00,30.5188,-87.2728,78.69,89,1,4.61
83,Avera,US,2021-10-26 00:53:00,33.194,-82.5271,72.91,84,18,10.45
84,Kutum,SD,2021-10-26 00:53:00,14.2,24.6667,70.97,24,56,8.19
85,Ushuaia,AR,2021-10-26 00:49:39,-54.8,-68.3,35.26,80,20,18.41
86,Barrow,US,2021-10-26 00:51:47,71.2906,-156.7887,24.82,86,90,13.8
87,Esperance,AU,2021-10-26 00:49:54,-33.8667,121.9,55.24,63,59,5.7
88,Sungaipenuh,ID,2021-10-26 00:53:01,-2.0833,101.3833,71.02,82,100,0.65
89,Plouzane,FR,2021-10-26 00:53:02,48.3833,-4.6167,57.25,97,90,8.05
90,Kudahuvadhoo,MV,2021-10-26 00:53:02,2.6708,72.8944,82.9,74,100,16.82
91,Tessalit,ML,2021-10-26 00:53:03,20.1986,1.0114,83.03,20,51,8.59
92,Kapaa,US,2021-10-26 00:52:10,22.0752,-159.319,79.2,82,90,1.99
