City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
60,Carmelo,UY,2021-10-28 23:14:24,-33.9892,-58.2856,83.19,66,99,8.32,overcast clouds
61,Esperance,AU,2021-10-28 23:12:23,-33.8667,121.9,51.64,72,87,12.06,overcast clouds
62,Torbay,CA,2021-10-28 23:12:04,47.6666,-52.7314,39.58,92,100,5.01,overcast clouds
63,Pisco,PE,2021-10-28 23:14:25,-13.7,-76.2167,63.01,88,0,20.71,clear sky
64,Porto Franco,BR,2021-10-28 23:14:25,-6.3383,-47.3992,80.13,67,64,4.59,broken clouds
65,Hope,US,2021-10-28 23:14:26,33.6671,-93.5916,62.65,70,100,18.3,overcast clouds
66,Rikitea,PF,2021-10-28 23:11:46,-23.1203,-134.9692,75.69,79,81,19.6,light rain
67,Namwala,ZM,2021-10-28 23:14:26,-15.7504,26.4384,72.55,50,0,3.36,clear sky
68,Sao Filipe,CV,2021-10-28 23:14:26,14.8961,-24.4956,78.89,79,100,13.02,overcast clouds
69,Hofn,IS,2021-10-28 23:14:27,64.2539,-15.2082,42.82,88,100,15.14,overcast clouds
70,Mount Isa,AU,2021-10-28 23:14:27,-20.7333,139.5,74.97,94,75,8.05,broken clouds
71,Thompson,CA,2021-10-28 23:12:11,55.7435,-97.8558,44.73,80,96,7.61,overcast clouds
72,Victoria,HK,2021-10-28 23:14:28,22.2855,114.1577,77.32,86,84,1.99,broken clouds
73,Mackay,AU,2021-10-28 23:14:28,-21.15,149.2,85.68,61,5,8.86,clear sky
74,Hilo,US,2021-10-28 23:14:28,19.7297,-155.09,82.13,71,20,10.36,few clouds
75,Clyde River,CA,2021-10-28 23:14:28,70.4692,-68.5914,30.42,96,100,5.32,overcast clouds
76,Ostrovnoy,RU,2021-10-28 23:14:29,68.0531,39.5131,28.06,86,100,18.19,overcast clouds
77,Dakar,SN,2021-10-28 23:14:29,14.6937,-17.4441,79.68,77,100,12.71,overcast clouds
78,Komsomolskiy,UZ,2021-10-28 23:14:05,40.4272,71.7189,48.92,61,40,4.61,scattered clouds
79,East London,ZA,2021-10-28 23:09:55,-33.0153,27.9116,66.4,96,100,11.16,moderate rain
80,Lubango,AO,2021-10-28 23:14:30,-14.9172,13.4925,64.13,66,70,1.61,broken clouds
81,Banda Aceh,ID,2021-10-28 23:14:30,5.5577,95.3222,79.12,86,92,6.29,overcast clouds
82,Ilulissat,GL,2021-10-28 23:14:30,69.2167,-51.1,26.62,68,75,11.5,broken clouds
83,Luanda,AO,2021-10-28 23:14:31,-8.8368,13.2343,74.44,81,100,10.67,light rain
84,Hithadhoo,MV,2021-10-28 23:14:31,-0.6,73.0833,83.17,74,100,13.6,overcast clouds
85,Iqaluit,CA,2021-10-28 23:11:58,63.7506,-68.5145,38.7,55,100,11.01,overcast clouds
86,Piacabucu,BR,2021-10-28 23:14:32,-10.4056,-36.4344,76.39,83,66,9.1,broken clouds
87,Havelock,US,2021-10-28 23:14:32,34.8791,-76.9013,65.93,90,100,1.01,overcast clouds
88,Naze,JP,2021-10-28 23:13:47,28.3667,129.4833,68.31,64,41,10.51,scattered clouds
89,Teya,RU,2021-10-28 23:14:32,60.3778,92.6267,26.58,85,100,9.44,overcast clouds
90,Pokosnoye,RU,2021-10-28 23:14:33,55.5258,101.0536,23.45,54,24,3.58,few clouds
91,Kampong Cham,KH,2021-10-28 23:14:33,11.9934,105.4635,74.05,94,57,1.77,broken clouds
92,Albany,US,2021-10-28 23:11:20,42.6001,-73.9662,49.08,87,0,0.58,clear sky
93,San Cristobal,VE,2021-10-28 23:10:12,7.7669,-72.225,75.38,97,68,3.62,broken clouds
94,Lagoa,PT,2021-10-28 23:13:17,39.05,-27.9833,68.56,85,95,27.04,overcast clouds
